User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,ASIA4A3YCXDTG4HX3RYY,2021-01-31T13:18:06Z,cloudtrail.amazonaws.com,PutInsightSelectors,us-east-1,176.231.175.57,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail_2""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:826496170214:trail/Udacity_Trail_2""}]",be71c6f8-fc57-44ce-bac7-2b91feec0cfd,5418ea43-7672-4e93-9300-9db9ca7cb61e,false,AwsApiCall,826496170214,Management
CloudTrail,ASIA4A3YCXDTG4HX3RYY,2021-01-31T13:18:06Z,cloudtrail.amazonaws.com,PutEventSelectors,us-east-1,176.231.175.57,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail_2""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:826496170214:trail/Udacity_Trail_2""}]",aafcb4f5-119a-4764-9bc8-19c4c30f1ed1,5ba11105-4eb1-480a-abe3-aba3c4e67999,false,AwsApiCall,826496170214,Management
CloudTrail,ASIA4A3YCXDTG4HX3RYY,2021-01-31T13:18:06Z,cloudtrail.amazonaws.com,StartLogging,us-east-1,176.231.175.57,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail_2""}]",f50b3957-c52e-4eaa-b018-23fb7535521c,b8da32f2-b786-4b3b-bcb4-a86155664595,false,AwsApiCall,826496170214,Management
CloudTrail,ASIA4A3YCXDTG4HX3RYY,2021-01-31T13:18:06Z,cloudtrail.amazonaws.com,CreateTrail,us-east-1,176.231.175.57,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail_2""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:826496170214:trail/Udacity_Trail_2""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-udacity-logs""}]",d58911e3-e81b-4eee-a04b-189b36feb363,d92396c2-51ef-438c-8add-995ef72b82b4,false,AwsApiCall,826496170214,Management
CloudTrail,ASIA4A3YCXDTG4HX3RYY,2021-01-31T13:18:06Z,s3.amazonaws.com,PutBucketPublicAccessBlock,us-east-1,176.231.175.57,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.932 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-udacity-logs""}]",26B574C47960C7F3,e797c460-abda-4bf7-a4c3-733ce154dd1c,false,AwsApiCall,826496170214,Management
CloudTrail,ASIA4A3YCXDTG4HX3RYY,2021-01-31T13:18:05Z,s3.amazonaws.com,CreateBucket,us-east-1,176.231.175.57,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.932 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-udacity-logs""}]",F67E38B61FE8B37D,29401766-c7f0-47a5-aa10-b52f833ced15,false,AwsApiCall,826496170214,Management
CloudTrail,ASIA4A3YCXDTG4HX3RYY,2021-01-31T13:18:05Z,s3.amazonaws.com,PutBucketPolicy,us-east-1,176.231.175.57,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.932 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-udacity-logs""}]",33F65374A2B8C1FE,ebcf9dc3-020d-4226-a7d1-2296d053b1e0,false,AwsApiCall,826496170214,Management
CloudTrail,ASIA4A3YCXDTG4HX3RYY,2021-01-31T13:16:54Z,cloudtrail.amazonaws.com,DeleteTrail,us-east-1,176.231.175.57,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:826496170214:trail/Udacity_Trail""}]",77740312-24d1-4c7e-b534-15e4efd5b682,44fdb1f5-81fc-4ad2-90c8-6dee30ea91f3,false,AwsApiCall,826496170214,Management
root,ASIA4A3YCXDTIQVU7S72,2021-01-31T13:16:43Z,s3.amazonaws.com,DeleteBucket,us-east-1,176.231.175.57,"[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.920 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-826496170214-7666f091""}]",6T8G1VAV8VEQ7ZDR,9bd97523-9fca-4c50-b101-b64c5307a56e,false,AwsApiCall,826496170214,Management
root,ASIA4A3YCXDTIQVU7S72,2021-01-31T13:15:46Z,s3.amazonaws.com,DeleteBucket,us-east-1,176.231.175.57,"[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.920 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-udacity-class""}]",D10569CDB62CA2E5,4a3bd054-6738-4277-af44-93d034034994,false,AwsApiCall,826496170214,Management
root,ASIA4A3YCXDTIQVU7S72,2021-01-31T13:15:15Z,s3.amazonaws.com,DeleteBucket,us-east-1,176.231.175.57,"[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.920 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-826496170214-7a955381""}]",41F2846310033C24,dd7c98d8-2d78-4099-8b0c-f1f8bf84e94d,false,AwsApiCall,826496170214,Management
root,ASIA4A3YCXDTIQVU7S72,2021-01-31T13:14:34Z,s3.amazonaws.com,DeleteBucket,us-east-1,176.231.175.57,"[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.920 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",BucketNotEmpty,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-826496170214-7666f091""}]",C82F17D30901D433,71c6a210-b8ba-4115-bc69-28ddaf34248f,false,AwsApiCall,826496170214,Management
root,ASIA4A3YCXDTIQVU7S72,2021-01-31T13:14:31Z,s3.amazonaws.com,DeleteBucket,us-east-1,176.231.175.57,"[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.920 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",BucketNotEmpty,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-826496170214-7666f091""}]",8VCV4J2G1PAT6KEP,ea4dbd1a-3620-4d7a-8d0c-bf894b1dfc5a,false,AwsApiCall,826496170214,Management
